,0
0,1.0984999388456345
1,0.8724999482510611
2,0.9169999496079981
3,0.8964999460149556
4,0.9199999462580308
5,0.9309999477118254
6,1.1154999353457242
7,1.524999916786328
8,1.3514999311883003
9,1.5494999253423885
10,1.9049998987466097
11,1.4584999275393784
12,1.9329998983303085
13,2.0864998972974718
14,1.9289998990716413
15,1.6194999134168029
16,1.9444999039405957
17,2.3189998887246475
18,1.9904999042628333
19,2.5264998875791207
20,1.8679999089799821
21,2.475999893154949
22,2.014999893377535
23,2.2474999023834243
24,2.2774998856475577
25,1.9074999088188633
26,3.9044998553581536
27,3.0239998578326777
28,3.2014998648082837
29,2.4154998934827745
30,3.5814998442074284
31,1.617999916197732
32,3.1569998612394556
33,3.6094998251646757
34,3.234999864245765
35,3.1814998707268387
36,3.7939998510992154
37,3.449499866575934
38,2.7934998840792105
39,2.017999897361733
40,2.159999898285605
41,4.283499853685498
42,3.9684998507145792
43,3.181499870494008
44,3.458499857923016
45,3.8764998589176685
46,3.371499859029427
47,3.5024998490698636
48,4.385999823338352
49,3.7744998554699123
50,4.105999844963662
51,5.037999818916433
52,4.586999839055352
53,6.014999790932052
54,4.803499838337302
55,4.601499841781333
56,4.395999841508456
57,5.385999810649082
58,5.949999794131145
59,4.386499835294671
60,7.541999759618193
61,4.255999839515425
62,6.04999981331639
63,5.658499805955216
64,6.476499803364277
65,6.178999814204872
66,8.03899975924287
67,5.523499818518758
68,6.8014997717691585
69,6.8729997996706516
70,8.843999723903835
71,7.808499762555584
72,8.024999769986607
73,8.747499742428772
74,8.438499761046842
75,7.729999753646553
76,9.100999729707837
77,5.74949980690144
78,7.516499764285982
79,7.314999791560695
80,7.848999754874967
81,3.4399998548906296
82,7.386999798589386
83,8.410499777179211
84,7.644999762182124
85,8.82749974145554
86,8.516999778570607
87,10.0919997128658
88,9.391999701736495
89,4.437499835155904
90,6.8979998014401644
91,10.46099967812188
92,10.057499709073454
93,8.227999720722437
94,10.002499680849724
95,12.014499642886221
96,9.361499714315869
97,12.106999632669613
98,11.057999692158774
99,9.382499723462388
100,13.866999563993886
101,12.303999697091058
102,12.672499562613666
103,12.607999617233872
104,10.339999687159434
105,12.954499643412419
106,13.039499610196799
107,13.353999588522129
108,13.177999621606432
109,13.361999560613185
110,9.837499703746289
111,12.512499653734267
112,13.413499597692862
113,13.506499639246613
114,11.892999656382017
115,14.683999607339501
116,12.533999583916739
117,15.129499551141635
118,15.969999507302418
119,15.709999521728605
120,16.621499528177083
121,15.818499539629556
122,15.743999572470784
123,17.56999950041063
124,21.314499492757022
125,16.377999517600983
126,19.227499471977353
127,17.795999533729628
128,18.188999532489106
129,15.719999570865184
130,14.571999539621174
131,18.654999516322277
